"Match","MatchTeams","Team","Player","Opponent","Player Opponent","Position","Position Opponent","Champion","Champion Opponent","Kills","Kills Opponent","Deaths","Deaths Opponent","Assists","Assists Opponent","Creep Score","Creep Score Opponent","Gold Earned","Gold Earned Opponent","Champion Damage Share","Champion Damage Share Opponent","Kill Participation","Kills Participation Opponent","Wards Placed","Wards Placed Opponent","Wards Destroyed","Wards Destroyed Opponent","Ward Interactions","Wards interactions Opponent","Dragons For","Dragons For Opponent","Dragons Against","Dragons Againts Opponent","Barons For","Barons For Opponent","Barons Against","Barons Against Opponent","Winner"
"Match5","DFMvsBYG","DFM","Aria","BYG","Maoan","Mid","Mid","Akali","Sylas","1","2","1","4","4","1","267","245","12271","11105","0.14","0.22","0.23","0.75","14","8","6","5","20","13","3","1","1","3","1","0","0","1","DFM"
"Match5","DFMvsBYG","DFM","Yutapon","BYG","Doggo","Adc","Adc","Miss Fortune","Ezreal","7","1","1","1","9","2","338","351","15905","13003","0.26","0.47","0.73","0.75","10","16","15","13","25","29","3","1","1","3","1","0","0","1","DFM"
"Match5","DFMvsBYG","DFM","Gaeng","BYG","Kino","Support","Support","Leona","Amumu","0","0","2","6","15","3","36","30","7695","6045","0.07","0.04","0.68","0.75","47","41","14","10","61","51","3","1","1","3","1","0","0","1","DFM"
"Match22","REDvsPCE","RED","Guigo","PCE","Vizicsacsi","Top","Top","Gangplank","Kennen","3","7","6","1","2","9","229","243","13179","13552","0.33","0.35","0.56","0.64","11","19","6","4","17","23","2","2","2","2","1","0","0","1","PCE"
"Match22","REDvsPCE","RED","Aegis","PCE","Babip","Jungle","Jungle","Graves","Nocturne","4","2","5","3","4","12","176","168","10388","10498","0.22","0.16","0.89","0.56","11","3","9","4","20","7","2","2","2","2","1","0","0","1","PCE"
"Match22","REDvsPCE","RED","Grevthar","PCE","Tally","Mid","Mid","Ryze","Tryndamere","1","8","5","1","3","10","247","285","10348","15333","0.22","0.23","0.44","0.72","14","15","7","7","21","22","2","2","2","2","1","0","0","1","PCE"
"Match22","REDvsPCE","RED","Titan","PCE","Violet","Adc","Adc","Kalista","Lucian","1","8","4","4","3","10","246","245","10708","12893","0.16","0.18","0.44","0.72","12","12","7","13","19","25","2","2","2","2","1","0","0","1","PCE"
"Match22","REDvsPCE","RED","Jojo","PCE","Aladoric","Support","Support","Leona","Braum","0","0","5","0","7","19","43","38","6514","7325","0.08","0.08","0.78","0.76","34","44","14","7","48","51","2","2","2","2","1","0","0","1","PCE"
"Match17","INFvsLNG","INF","Buggax","LNG","Ale","Top","Top","Jayce","Wukong","1","8","5","0","0","1","156","216","6984","13719","0.25","0.24","0.33","0.43","8","6","1","3","9","9","1","2","2","1","0","0","0","0","LNG"
"Match17","INFvsLNG","INF","Solidsnake","LNG","Tarzan","Jungle","Jungle","Qiyana","Graves","1","7","4","1","1","4","129","174","6778","10530","0.22","0.21","0.67","0.52","5","5","4","5","9","10","1","2","2","1","0","0","0","0","LNG"
"Match17","INFvsLNG","INF","Cody","LNG","Icon","Mid","Mid","Leblanc","Lissandra","1","3","5","2","1","7","165","208","7666","9633","0.25","0.21","0.67","0.48","12","9","5","6","17","15","1","2","2","1","0","0","0","0","LNG"
"Match17","INFvsLNG","INF","Whitelotus","LNG","Light","Adc","Adc","Lucian","Miss Fortune","0","2","4","0","1","6","196","208","7485","9692","0.18","0.3","0.33","0.38","11","9","5","12","16","21","1","2","2","1","0","0","0","0","LNG"
"Match17","INFvsLNG","INF","Ackerman","LNG","Iwandy","Support","Support","Braum","Leona","0","1","3","0","1","7","28","29","4714","6143","0.1","0.04","0.33","0.38","39","32","6","6","45","38","1","2","2","1","0","0","0","0","LNG"
"Match7","C9vsDFM2","C9","Fudge","DFM","Evi","Top","Top","Jayce","Sett","2","3","3","4","8","10","313","231","14644","13708","0.27","0.24","0.83","0.65","18","9","4","8","22","17","4","2","2","4","0","2","2","0","C9"
"Match7","C9vsDFM2","C9","Blaber","DFM","Steal","Jungle","Jungle","Olaf","Xin Zhao","7","5","4","2","3","8","225","184","13610","13140","0.29","0.21","0.83","0.65","9","14","14","14","23","28","4","2","2","4","0","2","2","0","C9"
"Match7","C9vsDFM2","C9","Perkz","DFM","Aria","Mid","Mid","Zoe","Orianna","0","6","3","1","5","7","290","362","12201","18076","0.2","0.22","0.42","0.65","16","17","7","13","23","30","4","2","2","4","0","2","2","0","C9"
"Match7","C9vsDFM2","C9","Zven","DFM","Yutapon","Adc","Adc","Miss Fortune","Ezreal","2","6","4","2","3","6","372","331","14765","17061","0.14","0.27","0.42","0.6","12","10","20","11","32","21","4","2","2","4","0","2","2","0","C9"
"Match7","C9vsDFM2","C9","Vulcan","DFM","Gaeng","Support","Support","Amumu","Leona","1","0","6","3","9","12","23","33","7594","9003","0.1","0.05","0.83","0.6","58","64","7","10","65","74","4","2","2","4","0","2","2","0","C9"
